account_id,account_code,account_name,statement_section,pnl_line,business_line,natural_balance,favorable_direction,sort_order
A4000,4000,Subscription Revenue,Revenue,Subscription Revenue,Subscription,Credit,Higher is favorable,10
A4010,4010,Implementation and Consulting Revenue,Revenue,Professional Services Revenue,Services,Credit,Higher is favorable,20
A4020,4020,Training Revenue,Revenue,Professional Services Revenue,Services,Credit,Higher is favorable,30
A5000,5000,Cloud Hosting,Cost of Revenue,Cost of Subscription,Subscription,Debit,Lower is favorable,40
A5010,5010,Customer Support Compensation,Cost of Revenue,Cost of Subscription,Subscription,Debit,Lower is favorable,50
A5020,5020,Services Delivery Compensation,Cost of Revenue,Cost of Services,Services,Debit,Lower is favorable,60
A5030,5030,Services Subcontractors,Cost of Revenue,Cost of Services,Services,Debit,Lower is favorable,70
A5040,5040,Project Travel and Other,Cost of Revenue,Cost of Services,Services,Debit,Lower is favorable,80
A5050,5050,Third-Party Subscription Tools,Cost of Revenue,Cost of Subscription,Subscription,Debit,Lower is favorable,90
A6100,6100,Sales Compensation,Operating Expense,Sales & Marketing,Corporate,Debit,Lower is favorable,100
A6110,6110,Sales Commissions,Operating Expense,Sales & Marketing,Corporate,Debit,Lower is favorable,110
A6120,6120,Marketing Compensation,Operating Expense,Sales & Marketing,Corporate,Debit,Lower is favorable,120
A6130,6130,Marketing Programs,Operating Expense,Sales & Marketing,Corporate,Debit,Lower is favorable,130
A6200,6200,Product and Engineering Compensation,Operating Expense,Research & Development,Corporate,Debit,Lower is favorable,140
A6210,6210,Engineering Tools and Test Infrastructure,Operating Expense,Research & Development,Corporate,Debit,Lower is favorable,150
A6300,6300,G&A Compensation,Operating Expense,General & Administrative,Corporate,Debit,Lower is favorable,160
A6310,6310,Facilities and Workplace,Operating Expense,General & Administrative,Corporate,Debit,Lower is favorable,170
A6320,6320,Corporate IT and Software,Operating Expense,General & Administrative,Corporate,Debit,Lower is favorable,180
A6330,6330,Professional Fees,Operating Expense,General & Administrative,Corporate,Debit,Lower is favorable,190
A6340,6340,Recruiting,Operating Expense,General & Administrative,Corporate,Debit,Lower is favorable,200
A6350,6350,Corporate Travel and Entertainment,Operating Expense,General & Administrative,Corporate,Debit,Lower is favorable,210
A6360,6360,Bad Debt Expense,Operating Expense,General & Administrative,Corporate,Debit,Lower is favorable,220
A6370,6370,Depreciation and Amortization,D&A,Depreciation & Amortization,Corporate,Debit,Lower is favorable,230
