project_id,customer_name,segment,region_name,project_type,contract_type,start_month,planned_end_month,status,revenue_to_date_usd,direct_labor_cost_usd,subcontractor_cost_usd,travel_cost_usd,gross_profit_usd,gross_margin_pct,realized_bill_rate_usd
P0063,"Ironwood Health 251",SMB,"US Central",Implementation,"Fixed Price",2025-03-01,2025-12-01,Completed,131878.58,104733.15,13702.5,1586.27,11856.66,0.0899,118.2
P0101,"Nova Retail 118",Enterprise,"US West",Implementation,"Fixed Price",2024-04-01,2024-09-01,Completed,552620.04,434855.8,61581.48,4068.6,52114.17,0.0943,115.09
P0117,"Stonegate Manufacturing 103",Enterprise,"US Central",Implementation,"Fixed Price",2023-04-01,2023-11-01,Completed,689881.12,540205.98,71919.05,9135.07,68621.02,0.0995,114.3
P0205,"Vantage Retail 211",Enterprise,Canada,Implementation,"Fixed Price",2024-07-01,2024-10-01,Completed,825313.94,647682.14,68915.37,8412.48,100303.94,0.1215,115.9
P0119,"Northstar Health 063",Mid-Market,"US Central",Optimization,"Time and Materials",2023-09-01,2023-10-01,Completed,242188.09,196105.19,11684.19,4238.17,30160.55,0.1245,109.9
P0085,"Keystone Mobility 008",Mid-Market,"US Central",Implementation,"Fixed Price",2023-05-01,2023-11-01,Completed,262368.92,203340.01,18151.75,4345.86,36531.28,0.1392,115.29
P0083,"BluePeak Education 127",Mid-Market,"US East",Implementation,"Fixed Price",2024-12-01,2025-07-01,Completed,212844.7,139787.69,23895.17,3111.91,46049.96,0.2164,144.04
P0016,"BrightPath Mobility 134",SMB,"US Central",Implementation,"Fixed Price",2022-07-01,2023-01-01,Completed,6052.64,3624.41,945.56,130.36,1352.31,0.2234,150.94
P0034,"Highland Foods 117",Mid-Market,"US West",Implementation,"Fixed Price",2025-04-01,2025-08-01,Completed,367125.67,225864.24,44520.99,3897.66,92842.8,0.2529,152.87
P0049,"Meridian Technology 014",SMB,"US East",Implementation,"Time and Materials",2023-06-01,2023-10-01,Completed,123668.82,74935.49,15322.34,1867.85,31543.16,0.2551,147.52
P0032,"Keystone Logistics 099",SMB,"US West",Implementation,"Time and Materials",2023-07-01,2024-02-01,Completed,87981.87,56627.18,7630.55,1068.3,22655.88,0.2575,139.01
P0128,"Silverline Mobility 042",SMB,Canada,Implementation,"Time and Materials",2023-04-01,2024-03-01,Completed,205775.96,122446.54,19163.01,2947.1,61219.34,0.2975,150.93
P0006,"Summit Logistics 035",Enterprise,"US West",Implementation,"Fixed Price",2022-12-01,2023-03-01,Completed,504483.95,285922.45,60803.65,6972.05,150785.8,0.2989,159.44
P0100,"Summit Retail 270",Enterprise,"US West",Implementation,"Time and Materials",2023-06-01,2023-10-01,Completed,642322.04,381777.81,58821.79,5501.8,196220.61,0.3055,150.45
P0184,"Northstar Education 158",Mid-Market,"US West",Implementation,"Fixed Price",2023-03-01,2024-02-01,Completed,308114.72,182224.24,28101.57,3476.9,94311.97,0.3061,151.36
P0081,"Clearwater Education 183",SMB,"US East",Implementation,"Fixed Price",2024-10-01,2025-08-01,Completed,82304.66,49320.82,6793.57,840.53,25349.79,0.308,157.13
P0130,"Harbor Media 291",Enterprise,"US East",Implementation,"Fixed Price",2026-06-01,2026-11-01,"In Progress",62828.89,39100.94,3284.74,1032.63,19410.58,0.3089,154.71
P0036,"Oakridge Logistics 192",SMB,"US Central",Implementation,"Time and Materials",2023-05-01,2023-12-01,Completed,189254.18,110906.34,18067.48,1732.92,58547.41,0.3094,152.48
P0097,"Lakeview Education 004",Enterprise,"US East",Implementation,"Time and Materials",2023-06-01,2024-02-01,Completed,832167.21,490877.08,69392.14,9632.25,262265.74,0.3152,151.82
P0048,"Stonegate Foods 073",Enterprise,"US West",Implementation,"Time and Materials",2025-02-01,2025-08-01,Completed,1003143.88,584263.28,88416.41,11828.89,318635.31,0.3176,161.98
P0035,"Atlas Foods 149",Enterprise,"US West",Implementation,"Fixed Price",2025-10-01,2026-05-01,Completed,947735.71,527674.06,105027.23,13414.98,301619.45,0.3183,171.27
P0082,"Ironwood Mobility 244",SMB,"US East",Implementation,"Time and Materials",2023-04-01,2023-10-01,Completed,174655.36,99428.25,17279.73,1529.41,56417.98,0.323,157.45
P0068,"Frontier Retail 265",Enterprise,"US East",Implementation,"Time and Materials",2023-01-01,2023-05-01,Completed,628292.57,358878.05,57010.02,6680.49,205724.01,0.3274,158.2
P0146,"Atlas Media 193",Mid-Market,"US East",Implementation,"Time and Materials",2024-06-01,2024-09-01,Completed,407065.15,229072.5,39433.74,4750.98,133807.94,0.3287,161.18
P0175,"Pioneer Health 128",SMB,"US Central",Implementation,"Fixed Price",2025-02-01,2025-06-01,Completed,159328.31,88462.01,16734.36,1319.76,52812.2,0.3315,170.42
P0208,"Nova Retail 118",Enterprise,"US West",Implementation,"Fixed Price",2023-03-01,2023-08-01,Completed,788480.42,432497.82,83383.85,10193.46,262405.28,0.3328,164.38
P0059,"Vantage Technology 293",Enterprise,"US Central",Implementation,"Time and Materials",2023-03-01,2023-10-01,Completed,470893.35,262967.48,43924.48,6470.67,157530.73,0.3345,160.7
P0008,"Evergreen Media 123",Mid-Market,"US West",Implementation,"Time and Materials",2022-11-01,2023-10-01,Completed,412602.09,232634.34,36645.43,4251.57,139070.74,0.3371,159.36
P0136,"Nova Retail 118",Enterprise,"US West",Implementation,"Fixed Price",2023-09-01,2024-07-01,Completed,680972.68,382930.83,59845.23,7956.31,230240.28,0.3381,160.55
P0018,"Northstar Technology 188",Mid-Market,"US West",Implementation,"Time and Materials",2022-06-01,2023-02-01,Completed,97226.73,52608.25,9887.72,1645.55,33085.21,0.3403,166.86
